item_id,order_id,product_id,quantity,unit_price,discount_percent
1,153,47,7,388.35,73.32
2,298,18,8,54.37,36.39
3,11,85,4,405.2,61.4
4,170,97,9,88.02,56.64
5,580,85,3,246.92,35.88
6,225,98,8,139.53,23.4
7,212,67,6,459.77,88.16
8,41,84,6,484.54,63.36
9,281,107,5,289.38,37.67
10,388,47,10,419.38,51.67
11,386,29,9,410.45,34.5
12,494,78,1,78.09,16.56
13,79,66,5,101.58,36.22
14,122,85,4,171.81,11.33
15,491,62,4,327.16,41.09
16,250,6,3,88.95,62.95
17,41,74,3,136.55,18.0
18,416,77,10,440.47,72.8
19,291,11,4,496.46,86.73
20,175,29,7,399.36,82.05
21,187,80,9,364.85,34.27
22,465,77,10,195.32,13.22
23,17,26,9,257.14,41.98
24,154,78,2,451.79,59.98
25,545,65,2,333.1,90.2
26,553,106,1,389.69,64.92
27,535,54,6,351.84,42.9
28,494,102,7,404.26,90.79
29,590,13,7,243.8,23.25
30,86,37,10,210.24,18.9
31,8,74,9,13.53,65.45
32,324,53,6,218.78,58.54
33,268,110,9,189.17,27.56
34,407,97,4,394.06,48.25
35,380,72,9,494.37,57.77
36,408,95,3,333.05,74.78
37,458,101,3,259.09,78.61
38,564,79,1,482.64,0.53
39,94,106,3,304.12,8.81
40,270,29,6,28.5,38.43
41,411,79,9,482.13,5.75
42,180,82,8,108.84,65.69
43,531,37,4,303.76,51.58
44,238,79,3,186.27,65.5
45,162,12,5,183.03,39.51
46,206,67,1,43.62,9.02
47,292,93,9,180.57,96.33
48,284,29,10,232.83,40.4
49,5,34,3,62.17,7.24
50,302,44,2,478.79,87.61
51,589,33,8,285.95,77.0
52,348,100,8,449.3,86.2
53,494,15,5,320.49,99.42
54,236,103,6,183.02,53.57
55,270,32,5,340.11,82.11
56,78,71,3,183.23,89.43
57,276,24,4,107.84,73.54
58,272,27,4,132.35,61.86
59,160,100,2,48.46,95.58
60,505,79,1,275.32,4.23
61,494,48,10,450.08,88.1
62,589,112,5,492.35,91.6
63,287,51,4,72.84,52.57
64,434,62,9,180.17,86.04
65,179,59,2,235.43,68.92
66,13,87,4,59.37,36.16
67,266,24,9,142.01,95.85
68,352,47,3,113.16,70.07
69,382,47,7,98.15,13.11
70,590,88,4,363.2,80.41
71,569,56,7,402.02,73.85
72,485,104,1,254.8,99.56
73,530,69,6,157.02,56.21
74,582,7,7,90.04,21.55
75,261,61,2,173.98,36.1
76,574,72,5,211.76,35.11
77,204,74,10,273.83,97.94
78,292,46,6,248.87,73.65
79,81,49,10,319.54,14.48
80,172,82,6,310.03,40.48
81,74,11,3,163.61,65.3
82,274,78,7,228.0,86.28
83,372,96,10,230.64,16.73
84,24,17,4,470.81,70.07
85,82,27,3,56.82,93.68
86,485,71,-1,204.54,76.5
87,86,14,5,51.31,93.16
88,400,40,4,149.25,62.65
89,135,68,-3,335.14,86.04
90,334,111,8,436.74,93.49
91,562,57,3,351.84,17.7
92,468,81,10,323.5,53.38
93,356,62,9,53.88,30.79
94,423,34,3,10.05,81.54
95,140,45,5,14.08,92.21
96,489,39,1,401.0,59.7
97,8,71,6,442.26,43.71
98,256,21,7,118.09,7.92
99,246,67,10,345.47,28.47
100,545,104,5,428.21,18.24
101,297,15,8,143.35,62.28
102,193,42,1,485.16,2.21
103,105,37,5,224.82,0.82
104,93,20,1,177.54,31.16
105,511,48,8,25.55,8.02
106,150,8,5,44.98,47.01
107,197,108,5,415.84,12.2
108,255,50,8,497.32,19.92
109,97,67,4,343.91,31.21
110,331,21,1,279.29,12.21
111,493,82,5,444.88,86.37
112,224,15,4,169.01,16.74
113,283,75,2,129.11,96.88
114,596,101,8,85.95,77.08
115,255,21,8,313.14,93.08
116,62,8,6,353.65,79.15
117,129,63,4,283.59,64.46
118,356,104,8,20.46,37.78
119,138,33,1,224.38,29.47
120,502,25,10,180.36,73.24
121,282,112,10,281.71,6.89
122,159,58,5,275.39,45.41
123,519,49,3,313.67,36.41
124,245,42,2,274.09,38.75
125,537,88,8,85.52,28.31
126,420,83,6,266.37,6.67
127,133,23,1,247.83,9.88
128,585,83,7,267.65,70.13
129,263,7,6,361.74,1.31
130,214,84,8,417.72,46.81
131,63,47,9,446.31,82.2
132,60,106,10,29.92,7.04
133,312,10,4,57.59,72.52
134,545,50,4,331.87,57.0
135,184,72,9,61.7,63.86
136,367,87,8,219.27,10.41
137,185,71,7,332.19,53.39
138,454,46,6,498.46,84.49
139,423,98,7,168.49,24.07
140,559,28,7,463.81,25.41
141,464,58,-7,26.98,28.45
142,17,67,3,157.9,30.03
143,228,28,-6,412.75,68.97
144,283,71,9,463.7,15.47
145,39,59,6,139.84,88.96
146,256,30,5,55.03,39.98
147,223,94,2,398.52,17.29
148,591,105,2,157.19,73.08
149,591,49,2,461.72,33.44
150,445,54,2,121.09,65.28
151,12,82,7,266.95,31.93
152,579,20,6,118.19,5.05
153,403,58,10,54.14,43.19
154,404,19,3,243.17,74.53
155,562,52,5,255.89,77.38
156,134,98,3,107.07,39.53
157,586,26,9,370.48,24.62
158,74,35,7,462.83,8.96
159,424,55,6,167.16,59.39
160,25,99,5,181.36,82.16
161,453,80,3,462.86,23.35
162,383,20,2,36.72,94.89
163,152,112,-5,349.96,11.13
164,461,61,1,372.61,21.19
165,560,67,5,315.29,99.23
166,19,49,10,268.13,25.55
167,62,37,4,312.8,5.31
168,9,9,7,334.86,91.29
169,369,111,-2,435.03,64.94
170,237,49,9,58.81,31.55
171,545,12,3,483.73,56.07
172,23,6,4,159.41,48.99
173,161,3,6,184.14,30.23
174,514,36,1,440.55,89.04
175,31,72,5,177.48,39.28
176,141,12,7,342.22,87.27
177,233,54,4,218.97,31.24
178,338,58,9,329.71,58.1
179,208,111,3,355.52,52.38
180,139,56,3,286.77,15.8
181,70,72,9,68.01,31.76
182,150,94,1,441.26,41.4
183,422,39,8,412.63,63.68
184,281,20,4,100.53,76.24
185,274,78,10,302.22,23.09
186,27,46,2,243.54,50.23
187,481,92,6,199.86,47.38
188,168,25,4,384.62,1.5
189,277,53,4,494.24,75.78
190,68,23,8,250.07,32.49
191,469,32,7,30.49,73.53
192,390,93,6,470.18,57.19
193,550,68,1,231.29,82.7
194,44,32,9,492.08,3.93
195,397,67,1,225.38,88.44
196,293,60,3,310.44,5.45
197,530,19,8,231.33,72.26
198,116,24,10,351.1,13.53
199,424,42,-8,232.3,89.66
200,207,59,2,348.94,90.72
201,168,92,2,356.05,63.41
202,88,68,7,487.84,61.21
203,164,49,9,386.45,91.23
204,580,112,3,80.86,76.92
205,53,54,5,386.63,44.63
206,186,16,3,11.73,76.54
207,13,59,8,276.32,0.58
208,506,31,4,243.1,41.02
209,82,77,-10,442.26,27.81
210,571,105,4,82.65,65.33
211,38,19,1,420.63,29.84
212,90,7,2,97.34,67.21
213,587,101,9,233.12,57.9
214,37,12,5,449.79,82.03
215,438,108,9,240.7,12.2
216,282,43,9,112.82,20.91
217,60,14,10,318.2,98.72
218,496,93,10,493.28,28.72
219,325,34,9,315.39,92.71
220,577,64,9,253.89,80.8
221,239,91,5,10.77,2.4
222,121,95,4,499.5,41.4
223,342,45,9,114.05,64.06
224,289,33,2,258.28,32.39
225,7,15,6,364.95,61.6
226,30,107,3,418.57,92.23
227,491,61,1,245.93,62.72
228,550,43,8,212.84,74.26
229,534,39,10,164.6,53.59
230,214,74,6,445.13,35.36
231,153,36,1,193.87,53.43
232,170,74,10,301.64,86.46
233,316,91,6,143.03,8.68
234,244,48,8,158.29,52.51
235,180,15,6,391.12,91.34
236,455,65,1,453.43,15.41
237,349,62,9,170.4,76.95
238,101,106,9,75.03,72.46
239,471,50,9,162.38,4.4
240,90,43,8,60.52,76.62
241,320,3,10,323.04,20.98
242,206,25,5,166.38,44.11
243,121,35,3,66.09,95.83
244,574,66,2,181.66,31.85
245,145,91,5,93.92,31.14
246,347,70,8,24.21,90.33
247,52,14,7,218.97,17.9
248,457,79,6,410.55,71.29
249,547,11,8,55.53,80.24
250,480,13,8,325.77,76.65
251,482,30,4,448.89,25.81
252,373,51,3,335.94,78.88
253,333,59,8,242.91,35.14
254,473,109,3,180.82,57.47
255,521,14,7,400.41,32.59
256,73,102,5,206.4,41.34
257,250,71,3,198.07,34.07
258,442,101,7,177.68,69.41
259,178,85,2,358.84,83.67
260,118,76,10,281.99,82.2
261,181,40,7,63.28,81.41
262,389,42,8,40.13,21.76
263,143,75,1,333.83,45.3
264,299,50,10,105.88,68.15
265,325,39,10,342.98,91.85
266,446,92,6,295.54,61.15
267,523,52,3,40.58,90.11
268,55,1,9,186.03,86.12
269,32,31,7,203.19,31.81
270,392,52,7,113.5,17.34
271,143,25,9,463.0,84.0
272,158,37,3,45.16,1.57
273,499,85,7,76.53,13.72
274,426,111,8,350.74,93.03
275,185,59,9,411.83,38.47
276,232,24,7,293.19,84.68
277,243,92,9,464.02,57.64
278,35,5,10,190.6,58.03
279,82,19,9,492.0,77.89
280,477,67,2,308.93,24.52
281,80,88,9,163.12,5.28
282,352,69,1,261.2,46.92
283,340,54,6,401.13,28.92
284,37,89,10,366.22,56.37
285,63,81,8,290.7,65.63
286,299,104,-10,247.53,12.68
287,79,109,5,311.74,27.52
288,264,2,2,455.96,73.9
289,458,48,3,353.38,48.49
290,541,111,1,51.36,14.51
291,158,108,8,212.34,38.32
292,451,93,3,369.84,34.51
293,271,97,2,237.37,47.62
294,488,96,9,344.92,39.01
295,269,19,9,15.81,92.72
296,460,49,6,344.61,4.1
297,545,82,6,221.58,91.8
298,280,43,5,58.16,65.43
299,401,60,4,298.47,19.49
300,346,87,3,15.18,0.85
301,70,2,7,60.91,44.59
302,225,93,5,26.68,61.94
303,59,77,4,322.66,70.81
304,123,12,10,331.63,89.99
305,580,103,3,350.87,25.33
306,479,85,2,462.12,27.64
307,438,89,6,392.56,27.73
308,64,49,7,39.43,95.56
309,272,23,8,489.92,20.07
310,403,23,8,274.91,43.13
311,109,57,5,45.73,57.13
312,257,100,-8,253.87,65.29
313,1,5,7,353.03,90.46
314,589,1,9,387.79,47.81
315,414,109,2,11.62,95.42
316,494,16,10,495.88,33.34
317,311,52,1,479.82,9.07
318,548,110,6,235.22,76.65
319,208,23,9,198.24,19.1
320,400,14,6,443.75,43.8
321,195,18,1,362.67,59.29
322,501,50,2,325.27,49.97
323,461,3,1,175.48,72.1
324,416,16,4,336.99,45.84
325,550,20,10,45.3,73.55
326,501,84,1,459.83,4.58
327,134,2,3,453.28,82.07
328,100,59,10,299.61,81.78
329,109,15,8,311.66,6.31
330,208,55,6,491.27,67.84
331,333,16,10,167.58,96.47
332,219,98,1,174.4,12.07
333,145,97,7,191.26,16.5
334,250,75,1,397.62,63.22
335,386,100,-3,248.61,0.63
336,184,12,10,213.95,80.74
337,488,89,3,323.51,52.31
338,422,31,3,28.43,18.0
339,512,79,2,393.47,34.79
340,5,72,4,493.44,97.68
341,371,111,9,237.47,62.65
342,214,36,1,400.34,68.52
343,486,64,3,462.11,5.4
344,373,37,4,173.8,80.52
345,465,6,2,463.18,17.59
346,30,63,9,448.59,72.14
347,594,42,7,341.66,32.57
348,113,42,4,371.5,86.99
349,385,29,2,247.36,89.05
350,149,28,10,199.79,13.64
351,199,81,6,109.08,12.72
352,583,8,5,427.31,45.86
353,176,98,6,154.63,15.68
354,175,74,9,52.37,85.7
355,501,111,4,420.12,27.92
356,439,95,4,222.78,22.24
357,153,74,1,31.67,99.13
358,517,5,7,244.84,79.8
359,101,58,8,283.66,1.24
360,417,28,3,127.14,99.9
361,17,62,5,235.05,57.04
362,598,4,8,77.93,70.31
363,190,102,6,354.91,0.14
364,73,50,6,155.33,75.29
365,556,74,4,49.67,88.08
366,57,66,6,64.37,36.56
367,42,47,6,283.81,6.7
368,210,18,6,65.64,47.85
369,595,112,4,382.83,32.05
370,274,65,7,41.05,34.52
371,498,65,9,240.38,53.19
372,546,38,8,401.95,94.54
373,68,25,8,201.43,17.88
374,79,14,3,351.57,49.63
375,210,67,1,485.09,54.14
376,136,61,6,371.48,2.15
377,194,9,1,123.84,94.74
378,344,53,10,326.57,32.63
379,543,108,9,159.0,13.2
380,314,22,5,192.23,28.81
381,49,19,6,478.54,61.86
382,165,92,9,486.87,83.93
383,158,21,4,496.95,57.45
384,452,34,6,285.62,3.47
385,325,45,3,274.53,16.26
386,309,16,1,254.71,14.54
387,470,41,-3,371.86,97.56
388,340,83,5,152.02,94.4
389,588,86,3,366.99,92.23
390,347,89,2,451.09,13.94
391,565,15,-5,312.59,22.04
392,366,12,6,324.24,58.34
393,228,101,5,50.96,84.95
394,90,66,7,165.7,60.51
395,58,86,6,360.82,42.76
396,396,48,1,182.16,97.75
397,575,12,4,227.67,99.26
398,454,37,3,485.48,42.38
399,425,18,10,80.38,30.32
400,538,43,2,299.43,37.58
401,7,53,5,282.35,71.02
402,141,26,3,151.84,49.06
403,310,107,10,284.05,46.35
404,28,102,1,157.08,64.06
405,484,16,5,251.02,68.78
406,251,4,2,251.59,97.06
407,371,75,8,435.49,62.8
408,488,89,2,369.15,1.75
409,266,21,10,166.64,87.83
410,139,46,3,186.97,63.62
411,365,7,5,323.08,7.68
412,199,99,3,303.39,16.71
413,331,112,6,345.63,30.11
414,372,13,9,413.42,1.29
415,531,37,6,211.88,92.09
416,167,14,4,118.35,18.84
417,573,79,9,359.15,70.23
418,117,54,8,67.12,13.12
419,18,62,6,187.66,81.7
420,536,98,6,159.3,74.45
421,122,29,3,79.76,22.66
422,129,27,3,218.15,76.3
423,115,10,1,381.09,4.25
424,111,5,9,239.85,90.85
425,45,9,5,379.73,78.24
426,211,76,4,182.25,9.08
427,285,75,6,429.02,78.08
428,248,65,10,411.6,76.32
429,542,28,4,94.17,75.4
430,5,93,2,461.03,85.13
431,487,47,10,340.03,10.73
432,364,49,7,121.5,11.28
433,322,16,8,76.6,76.23
434,296,72,1,251.92,38.48
