order_id,customer_id,order_date,status,region_code,customer_id_missing
1,291,2026-04-29 04:48:50,RETURNED,WEST,False
2,316,2026-04-24 00:00:00,CANCELLED,CENTRAL,False
3,210,2026-02-17 01:45:28,SHIPPED,SOUTH,False
4,297,2026-04-05 03:04:14,PLACED,WEST,False
5,180,2025-08-12 00:00:00,RETURNED,SOUTH,False
6,363,2026-06-02 00:00:00,PLACED,WEST,False
7,UNKNOWN,2026-07-08 14:26:24,DELIVERED,CENTRAL,True
8,415,2026-03-08 00:41:29,CANCELLED,EAST,False
9,22,2025-08-26 03:42:34,SHIPPED,CENTRAL,False
10,371,2026-07-05 00:00:00,PLACED,SOUTH,False
11,411,2026-02-13 01:04:35,CANCELLED,EAST,False
12,227,2025-12-31 21:35:27,SHIPPED,NORTH,False
13,117,2026-04-07 18:49:43,SHIPPED,EAST,False
14,152,2025-12-10 05:41:14,SHIPPED,EAST,False
15,157,2026-02-16 22:44:00,PLACED,SOUTH,False
16,506,2026-07-24 12:53:05,RETURNED,CENTRAL,False
17,331,2026-07-17 21:11:05,DELIVERED,SOUTH,False
18,481,2026-07-24 02:25:56,DELIVERED,EAST,False
19,361,2026-03-20 20:41:50,DELIVERED,WEST,False
20,59,2026-07-13 03:18:03,DELIVERED,NORTH,False
21,93,2025-11-24 10:29:09,RETURNED,WEST,False
22,43,2026-02-16 08:25:33,RETURNED,SOUTH,False
23,488,2025-10-19 18:16:40,PLACED,WEST,False
24,352,2026-06-02 13:13:47,PLACED,CENTRAL,False
25,41,2026-07-31 11:35:27,CANCELLED,WEST,False
26,163,2026-02-24 05:53:57,DELIVERED,WEST,False
27,347,2025-11-26 14:03:46,PLACED,EAST,False
28,97,2026-01-11 06:17:39,CANCELLED,EAST,False
29,154,2025-11-03 23:50:36,RETURNED,SOUTH,False
30,318,2026-05-28 01:52:26,CANCELLED,SOUTH,False
31,87,2026-03-21 16:41:51,CANCELLED,EAST,False
32,540,2025-09-28 00:00:00,CANCELLED,CENTRAL,False
33,372,2025-08-30 18:29:10,SHIPPED,EAST,False
34,498,2026-03-01 21:59:53,SHIPPED,SOUTH,False
35,104,2026-06-16 03:31:27,RETURNED,CENTRAL,False
36,UNKNOWN,2026-01-21 02:04:24,RETURNED,SOUTH,True
37,158,2026-02-11 12:03:17,RETURNED,SOUTH,False
38,45,2026-08-09 16:00:09,SHIPPED,WEST,False
39,460,2026-03-07 18:06:40,SHIPPED,EAST,False
40,481,2025-08-22 09:17:40,SHIPPED,EAST,False
41,452,2026-02-20 21:11:49,DELIVERED,WEST,False
42,429,2025-12-22 14:45:22,SHIPPED,CENTRAL,False
43,257,2026-01-09 00:00:00,CANCELLED,EAST,False
44,106,2026-07-09 21:17:56,RETURNED,NORTH,False
45,165,2026-05-03 06:55:42,RETURNED,SOUTH,False
46,94,2026-06-07 01:44:15,SHIPPED,WEST,False
47,28,2025-10-16 15:02:45,CANCELLED,CENTRAL,False
48,396,2026-02-03 07:09:52,DELIVERED,SOUTH,False
49,UNKNOWN,2025-09-25 11:42:04,DELIVERED,SOUTH,True
50,294,2026-05-07 21:53:58,CANCELLED,SOUTH,False
51,481,2026-02-26 23:48:38,PLACED,NORTH,False
52,UNKNOWN,2026-02-04 09:57:26,SHIPPED,CENTRAL,True
53,541,2025-12-10 07:52:17,DELIVERED,SOUTH,False
54,49,2026-05-04 09:41:47,RETURNED,WEST,False
55,512,2025-08-13 00:15:20,PLACED,CENTRAL,False
56,148,2025-08-14 07:57:31,PLACED,CENTRAL,False
57,427,2026-04-28 12:53:04,PLACED,CENTRAL,False
58,70,2025-10-30 14:08:35,RETURNED,CENTRAL,False
59,520,2026-01-04 02:18:50,CANCELLED,WEST,False
60,UNKNOWN,2026-03-23 09:10:39,DELIVERED,EAST,True
61,366,2025-09-17 20:49:35,DELIVERED,SOUTH,False
62,107,2025-12-14 03:04:25,DELIVERED,SOUTH,False
63,UNKNOWN,2025-12-28 04:09:59,SHIPPED,WEST,True
64,491,2026-04-04 17:17:39,SHIPPED,NORTH,False
65,469,2026-07-10 00:00:00,SHIPPED,NORTH,False
66,43,2025-11-18 14:22:30,DELIVERED,CENTRAL,False
67,557,2025-10-21 10:10:32,PLACED,SOUTH,False
68,49,2026-03-10 18:46:12,DELIVERED,EAST,False
69,377,2025-11-19 19:43:09,CANCELLED,WEST,False
70,396,2025-11-09 20:05:08,SHIPPED,WEST,False
71,377,2025-11-22 08:51:19,RETURNED,EAST,False
72,435,2026-02-08 00:00:00,RETURNED,SOUTH,False
73,329,2026-04-04 00:00:00,DELIVERED,EAST,False
74,437,2025-12-20 23:40:45,CANCELLED,EAST,False
75,362,2025-12-29 20:26:56,CANCELLED,EAST,False
76,59,2025-10-20 00:00:00,CANCELLED,EAST,False
77,164,2026-02-19 10:39:43,SHIPPED,CENTRAL,False
78,449,2026-01-21 00:00:00,PLACED,SOUTH,False
79,376,2025-10-30 12:05:36,RETURNED,NORTH,False
80,461,2026-01-19 12:01:04,DELIVERED,WEST,False
81,141,2026-05-08 20:54:13,CANCELLED,EAST,False
82,256,2026-05-28 20:45:40,PLACED,SOUTH,False
83,397,2026-01-01 07:57:57,PLACED,EAST,False
84,457,2025-12-29 12:33:43,RETURNED,EAST,False
85,503,2026-07-07 12:41:05,SHIPPED,NORTH,False
86,456,2026-01-12 07:34:56,DELIVERED,EAST,False
87,556,2025-11-26 08:07:29,DELIVERED,SOUTH,False
88,179,2026-01-31 18:53:14,RETURNED,SOUTH,False
89,206,2025-10-18 14:28:39,SHIPPED,WEST,False
90,UNKNOWN,2026-03-19 15:42:47,DELIVERED,WEST,True
91,133,2025-09-29 16:05:39,PLACED,NORTH,False
92,491,2026-03-21 09:29:52,CANCELLED,CENTRAL,False
93,325,2026-05-03 03:52:59,CANCELLED,WEST,False
94,353,2025-11-06 00:00:00,RETURNED,CENTRAL,False
95,133,2026-06-21 22:35:44,PLACED,NORTH,False
96,312,2025-09-17 12:38:31,DELIVERED,SOUTH,False
97,532,2026-05-16 16:16:32,PLACED,EAST,False
98,282,2025-11-22 00:00:00,DELIVERED,CENTRAL,False
99,515,2026-06-18 00:25:41,RETURNED,CENTRAL,False
100,346,2025-11-09 07:39:07,RETURNED,NORTH,False
101,30,2026-03-13 00:00:00,RETURNED,EAST,False
102,427,2026-01-24 14:21:33,PLACED,WEST,False
103,559,2026-07-08 07:09:52,DELIVERED,WEST,False
104,416,2026-01-04 15:52:44,PLACED,NORTH,False
105,426,2025-10-24 21:13:48,SHIPPED,EAST,False
106,321,2025-10-05 09:09:02,DELIVERED,EAST,False
107,134,2026-06-16 10:40:41,RETURNED,CENTRAL,False
108,248,2026-05-23 13:29:56,DELIVERED,WEST,False
109,100,2025-10-06 00:00:00,CANCELLED,CENTRAL,False
110,164,2026-02-09 10:20:49,RETURNED,EAST,False
111,164,2026-06-18 15:09:43,RETURNED,WEST,False
112,316,2025-08-13 12:35:36,PLACED,WEST,False
113,247,2025-10-17 07:53:15,DELIVERED,NORTH,False
114,507,2026-01-20 10:38:45,CANCELLED,EAST,False
115,111,2026-02-19 18:22:40,DELIVERED,EAST,False
116,375,2025-09-30 00:00:00,PLACED,CENTRAL,False
117,372,2026-07-22 15:40:20,PLACED,WEST,False
118,287,2026-07-05 14:40:35,RETURNED,CENTRAL,False
119,100,2026-04-11 15:53:28,DELIVERED,CENTRAL,False
120,148,2026-02-26 12:38:34,RETURNED,WEST,False
121,47,2026-03-05 00:00:00,DELIVERED,WEST,False
122,153,2026-05-16 13:53:51,RETURNED,SOUTH,False
123,327,2025-12-10 08:34:47,RETURNED,EAST,False
124,520,2026-06-10 17:37:19,RETURNED,WEST,False
125,307,2026-02-14 17:25:03,PLACED,EAST,False
126,113,2025-12-04 06:18:35,RETURNED,EAST,False
127,28,2025-11-15 05:02:10,DELIVERED,CENTRAL,False
128,53,2026-03-16 01:17:55,SHIPPED,CENTRAL,False
129,390,2026-07-09 00:00:00,SHIPPED,NORTH,False
130,113,2026-03-18 06:23:23,CANCELLED,EAST,False
131,423,2025-08-28 06:28:17,CANCELLED,CENTRAL,False
132,483,2026-01-11 11:09:48,PLACED,SOUTH,False
133,333,2025-09-17 04:18:02,CANCELLED,CENTRAL,False
134,178,2026-05-04 22:07:03,RETURNED,EAST,False
135,271,2025-10-12 04:14:43,SHIPPED,SOUTH,False
136,306,2025-09-02 01:22:05,DELIVERED,EAST,False
137,501,2025-11-01 10:05:22,DELIVERED,CENTRAL,False
138,281,2026-06-21 19:07:22,RETURNED,CENTRAL,False
139,405,2025-11-16 11:56:24,SHIPPED,EAST,False
140,UNKNOWN,2026-02-10 19:27:28,PLACED,EAST,True
141,263,2026-07-01 13:34:18,SHIPPED,SOUTH,False
142,278,2026-04-11 08:31:47,DELIVERED,SOUTH,False
143,246,2025-09-16 03:23:14,RETURNED,SOUTH,False
144,54,2026-01-31 00:00:00,DELIVERED,WEST,False
145,141,2026-05-25 00:00:00,RETURNED,SOUTH,False
146,488,2025-12-17 17:00:49,SHIPPED,EAST,False
147,61,2025-11-18 15:00:44,PLACED,CENTRAL,False
148,39,2025-12-27 22:11:54,SHIPPED,WEST,False
149,181,2025-12-27 16:05:21,PLACED,WEST,False
150,191,2026-03-15 08:37:46,DELIVERED,NORTH,False
151,UNKNOWN,2026-03-14 05:59:09,PLACED,EAST,True
152,557,2026-08-06 15:12:34,SHIPPED,CENTRAL,False
153,198,2026-06-20 07:41:01,DELIVERED,SOUTH,False
154,264,2025-11-17 19:51:53,PLACED,EAST,False
155,198,2025-12-21 09:24:30,CANCELLED,WEST,False
156,89,2025-08-17 10:40:02,PLACED,SOUTH,False
157,489,2026-01-16 15:40:42,SHIPPED,NORTH,False
158,242,2025-09-25 19:48:14,DELIVERED,EAST,False
159,12,2025-12-24 02:11:20,DELIVERED,SOUTH,False
160,122,2026-07-12 14:14:59,SHIPPED,WEST,False
161,319,2026-04-30 15:59:16,DELIVERED,EAST,False
162,225,2026-04-01 22:09:58,CANCELLED,SOUTH,False
163,383,2025-10-26 00:12:45,RETURNED,WEST,False
164,224,2026-03-21 18:27:19,RETURNED,NORTH,False
165,541,2026-03-21 09:30:50,PLACED,CENTRAL,False
166,518,2026-04-19 02:58:26,RETURNED,SOUTH,False
167,533,2026-04-18 20:07:39,SHIPPED,CENTRAL,False
168,523,2026-03-06 20:23:48,PLACED,WEST,False
169,426,2025-10-16 12:36:30,PLACED,CENTRAL,False
170,316,2026-06-08 18:47:47,CANCELLED,EAST,False
171,224,2025-11-28 06:32:03,PLACED,WEST,False
172,66,2025-12-25 15:38:41,PLACED,NORTH,False
173,484,2025-12-13 00:00:00,CANCELLED,SOUTH,False
174,431,2026-04-28 04:24:02,CANCELLED,WEST,False
175,387,2026-02-23 23:28:35,RETURNED,SOUTH,False
176,357,2026-02-15 00:00:00,RETURNED,WEST,False
177,229,2026-06-06 14:55:46,PLACED,EAST,False
178,558,2026-05-22 18:42:36,CANCELLED,SOUTH,False
179,355,2026-01-30 07:28:45,SHIPPED,NORTH,False
180,UNKNOWN,2026-07-21 05:45:50,RETURNED,NORTH,True
181,69,2025-09-09 00:00:00,PLACED,WEST,False
182,50,2026-01-04 17:37:39,PLACED,WEST,False
183,553,2026-04-05 01:32:58,PLACED,SOUTH,False
184,297,2025-11-29 00:22:54,RETURNED,EAST,False
185,329,2026-02-05 20:16:16,SHIPPED,CENTRAL,False
186,308,2026-04-12 01:46:22,RETURNED,CENTRAL,False
187,180,2025-10-04 23:52:22,CANCELLED,CENTRAL,False
188,353,2026-07-12 22:32:11,CANCELLED,CENTRAL,False
189,427,2025-10-13 19:42:20,DELIVERED,WEST,False
190,551,2026-04-15 12:25:58,SHIPPED,EAST,False
191,148,2026-06-19 10:15:28,PLACED,CENTRAL,False
192,427,2026-08-05 08:39:26,SHIPPED,WEST,False
193,209,2025-12-18 18:28:32,PLACED,WEST,False
194,95,2026-01-20 13:24:11,SHIPPED,NORTH,False
195,41,2026-04-11 21:40:59,SHIPPED,CENTRAL,False
196,223,2026-04-04 12:55:57,DELIVERED,EAST,False
197,16,2026-03-19 17:50:13,SHIPPED,NORTH,False
198,491,2026-01-13 22:32:37,RETURNED,SOUTH,False
199,246,2026-07-05 10:07:02,DELIVERED,WEST,False
200,368,2026-07-28 00:19:20,DELIVERED,CENTRAL,False
201,478,2025-09-06 00:00:00,CANCELLED,EAST,False
202,380,2025-09-09 11:09:54,PLACED,CENTRAL,False
203,150,2025-10-11 00:00:00,RETURNED,CENTRAL,False
204,428,2025-12-21 04:36:37,SHIPPED,EAST,False
205,252,2025-11-06 08:56:02,DELIVERED,EAST,False
206,501,2025-12-09 11:39:11,CANCELLED,WEST,False
207,361,2025-12-10 19:18:28,RETURNED,WEST,False
208,556,2026-04-20 08:18:42,PLACED,CENTRAL,False
209,UNKNOWN,2025-11-30 21:25:35,PLACED,NORTH,True
210,237,2026-05-12 00:00:00,SHIPPED,NORTH,False
211,467,2025-11-21 14:48:43,RETURNED,CENTRAL,False
212,500,2026-04-01 00:00:00,RETURNED,CENTRAL,False
213,18,2026-04-17 02:18:32,DELIVERED,CENTRAL,False
214,18,2026-01-10 07:41:57,CANCELLED,SOUTH,False
215,99,2025-11-23 02:00:14,SHIPPED,SOUTH,False
216,259,2026-07-20 11:40:33,DELIVERED,WEST,False
217,416,2026-01-29 12:32:31,SHIPPED,SOUTH,False
218,83,2026-06-09 00:59:39,PLACED,NORTH,False
219,387,2026-07-10 19:43:40,PLACED,NORTH,False
220,85,2026-08-09 07:45:27,CANCELLED,EAST,False
221,98,2025-12-28 18:43:48,PLACED,SOUTH,False
222,487,2026-05-27 04:40:47,PLACED,EAST,False
223,34,2026-03-25 16:16:38,DELIVERED,NORTH,False
224,148,2026-02-28 01:15:40,CANCELLED,NORTH,False
