order_id,customer_id,order_date,status,region_code
1,291,2026-04-29 04:48:50,RETURNED,WEST
2,316,24-04-2026,CANCELLED,CENTRAL
3,210,2026-02-17 01:45:28,SHIPPED,SOUTH
4,297,2026-04-05 03:04:14,PLACED,WEST
5,180,12-08-2025,RETURNED,SOUTH
6,363,02-06-2026,PLACED,WEST
7,,2026-07-08 14:26:24,DELIVERED,CENTRAL
8,415,2026-03-08 00:41:29,CANCELLED,EAST
9,22,2025-08-26 03:42:34,SHIPPED,CENTRAL
10,371,05-07-2026,PLACED,SOUTH
11,411,2026-02-13 01:04:35,CANCELLED,EAST
12,227,2025-12-31 21:35:27,SHIPPED,NORTH
13,117,2026-04-07 18:49:43,SHIPPED,EAST
14,152,2025-12-10 05:41:14,SHIPPED,EAST
15,157,2026-02-16 22:44:00,PLACED,SOUTH
16,506,2026-07-24 12:53:05,RETURNED,CENTRAL
17,331,2026-07-17 21:11:05,DELIVERED,SOUTH
18,481,2026-07-24 02:25:56,DELIVERED,EAST
19,361,2026-03-20 20:41:50,DELIVERED,WEST
20,59,2026-07-13 03:18:03,DELIVERED,NORTH
21,93,2025-11-24 10:29:09,RETURNED,WEST
22,43,2026-02-16 08:25:33,RETURNED,SOUTH
23,488,2025-10-19 18:16:40,PLACED,WEST
24,352,2026-06-02 13:13:47,PLACED,CENTRAL
25,41,2026-07-31 11:35:27,CANCELLED,WEST
26,163,2026-02-24 05:53:57,DELIVERED,WEST
27,347,2025-11-26 14:03:46,PLACED,EAST
28,97,2026-01-11 06:17:39,CANCELLED,EAST
29,154,2025-11-03 23:50:36,RETURNED,SOUTH
30,318,2026-05-28 01:52:26,CANCELLED,SOUTH
31,87,2026-03-21 16:41:51,CANCELLED,EAST
32,540,28-09-2025,CANCELLED,CENTRAL
33,372,2025-08-30 18:29:10,SHIPPED,EAST
34,498,2026-03-01 21:59:53,SHIPPED,SOUTH
35,104,2026-06-16 03:31:27,RETURNED,CENTRAL
36,,2026-01-21 02:04:24,RETURNED,SOUTH
37,158,2026-02-11 12:03:17,RETURNED,SOUTH
38,45,2026-08-09 16:00:09,SHIPPED,WEST
39,460,2026-03-07 18:06:40,SHIPPED,EAST
40,481,2025-08-22 09:17:40,SHIPPED,EAST
41,452,2026-02-20 21:11:49,DELIVERED,WEST
42,429,2025-12-22 14:45:22,SHIPPED,CENTRAL
43,257,09-01-2026,CANCELLED,EAST
44,106,2026-07-09 21:17:56,RETURNED,NORTH
45,165,2026-05-03 06:55:42,RETURNED,SOUTH
46,94,2026-06-07 01:44:15,SHIPPED,WEST
47,28,2025-10-16 15:02:45,CANCELLED,CENTRAL
48,396,2026-02-03 07:09:52,DELIVERED,SOUTH
49,,2025-09-25 11:42:04,DELIVERED,SOUTH
50,294,2026-05-07 21:53:58,CANCELLED,SOUTH
51,481,2026-02-26 23:48:38,PLACED,NORTH
52,,2026-02-04 09:57:26,SHIPPED,CENTRAL
53,541,2025-12-10 07:52:17,DELIVERED,SOUTH
54,49,2026-05-04 09:41:47,RETURNED,WEST
55,512,2025-08-13 00:15:20,PLACED,CENTRAL
56,148,2025-08-14 07:57:31,PLACED,CENTRAL
57,427,2026-04-28 12:53:04,PLACED,CENTRAL
58,70,2025-10-30 14:08:35,RETURNED,CENTRAL
59,520,2026-01-04 02:18:50,CANCELLED,WEST
60,,2026-03-23 09:10:39,DELIVERED,EAST
61,366,2025-09-17 20:49:35,DELIVERED,SOUTH
62,107,2025-12-14 03:04:25,DELIVERED,SOUTH
63,,2025-12-28 04:09:59,SHIPPED,WEST
64,491,2026-04-04 17:17:39,SHIPPED,NORTH
65,469,10-07-2026,SHIPPED,NORTH
66,43,2025-11-18 14:22:30,DELIVERED,CENTRAL
67,557,2025-10-21 10:10:32,PLACED,SOUTH
68,49,2026-03-10 18:46:12,DELIVERED,EAST
69,377,2025-11-19 19:43:09,CANCELLED,WEST
70,396,2025-11-09 20:05:08,SHIPPED,WEST
71,377,2025-11-22 08:51:19,RETURNED,EAST
72,435,08-02-2026,RETURNED,SOUTH
73,329,04-04-2026,DELIVERED,EAST
74,437,2025-12-20 23:40:45,CANCELLED,EAST
75,362,2025-12-29 20:26:56,CANCELLED,EAST
76,59,20-10-2025,CANCELLED,EAST
77,164,2026-02-19 10:39:43,SHIPPED,CENTRAL
78,449,21-01-2026,PLACED,SOUTH
79,376,2025-10-30 12:05:36,RETURNED,NORTH
80,461,2026-01-19 12:01:04,DELIVERED,WEST
81,141,2026-05-08 20:54:13,CANCELLED,EAST
82,256,2026-05-28 20:45:40,PLACED,SOUTH
83,397,2026-01-01 07:57:57,PLACED,EAST
84,457,2025-12-29 12:33:43,RETURNED,EAST
