full_date,date_key,year,quarter,month,month_name,day,day_of_week,day_name,week_of_year,is_weekend
2010-12-22,20101222,2010,4,12,December,22,3,Wednesday,51,False
2010-12-23,20101223,2010,4,12,December,23,4,Thursday,51,False
2010-12-24,20101224,2010,4,12,December,24,5,Friday,51,False
2010-12-25,20101225,2010,4,12,December,25,6,Saturday,51,True
2010-12-26,20101226,2010,4,12,December,26,7,Sunday,51,True
2010-12-27,20101227,2010,4,12,December,27,1,Monday,52,False
2010-12-28,20101228,2010,4,12,December,28,2,Tuesday,52,False
2010-12-29,20101229,2010,4,12,December,29,3,Wednesday,52,False
2010-12-30,20101230,2010,4,12,December,30,4,Thursday,52,False
2010-12-31,20101231,2010,4,12,December,31,5,Friday,52,False
2011-01-01,20110101,2011,1,1,January,1,6,Saturday,52,True
2011-01-02,20110102,2011,1,1,January,2,7,Sunday,52,True
2011-01-03,20110103,2011,1,1,January,3,1,Monday,1,False
2011-01-04,20110104,2011,1,1,January,4,2,Tuesday,1,False
2011-01-05,20110105,2011,1,1,January,5,3,Wednesday,1,False
2011-01-06,20110106,2011,1,1,January,6,4,Thursday,1,False
2011-01-07,20110107,2011,1,1,January,7,5,Friday,1,False
2011-01-08,20110108,2011,1,1,January,8,6,Saturday,1,True
2011-01-09,20110109,2011,1,1,January,9,7,Sunday,1,True
2011-01-10,20110110,2011,1,1,January,10,1,Monday,2,False
2011-01-11,20110111,2011,1,1,January,11,2,Tuesday,2,False
2011-01-12,20110112,2011,1,1,January,12,3,Wednesday,2,False
2011-01-13,20110113,2011,1,1,January,13,4,Thursday,2,False
2011-01-14,20110114,2011,1,1,January,14,5,Friday,2,False
2011-01-15,20110115,2011,1,1,January,15,6,Saturday,2,True
2011-01-16,20110116,2011,1,1,January,16,7,Sunday,2,True
2011-01-17,20110117,2011,1,1,January,17,1,Monday,3,False
2011-01-18,20110118,2011,1,1,January,18,2,Tuesday,3,False
2011-01-19,20110119,2011,1,1,January,19,3,Wednesday,3,False
2011-01-20,20110120,2011,1,1,January,20,4,Thursday,3,False
2011-01-21,20110121,2011,1,1,January,21,5,Friday,3,False
2011-01-22,20110122,2011,1,1,January,22,6,Saturday,3,True
2011-01-23,20110123,2011,1,1,January,23,7,Sunday,3,True
2011-01-24,20110124,2011,1,1,January,24,1,Monday,4,False
2011-01-25,20110125,2011,1,1,January,25,2,Tuesday,4,False
2011-01-26,20110126,2011,1,1,January,26,3,Wednesday,4,False
2011-01-27,20110127,2011,1,1,January,27,4,Thursday,4,False
2011-01-28,20110128,2011,1,1,January,28,5,Friday,4,False
2011-01-29,20110129,2011,1,1,January,29,6,Saturday,4,True
2011-01-30,20110130,2011,1,1,January,30,7,Sunday,4,True
2011-01-31,20110131,2011,1,1,January,31,1,Monday,5,False
2011-02-01,20110201,2011,1,2,February,1,2,Tuesday,5,False
2011-02-02,20110202,2011,1,2,February,2,3,Wednesday,5,False
2011-02-03,20110203,2011,1,2,February,3,4,Thursday,5,False
2011-02-04,20110204,2011,1,2,February,4,5,Friday,5,False
2011-02-05,20110205,2011,1,2,February,5,6,Saturday,5,True
2011-02-06,20110206,2011,1,2,February,6,7,Sunday,5,True
2011-02-07,20110207,2011,1,2,February,7,1,Monday,6,False
2011-02-08,20110208,2011,1,2,February,8,2,Tuesday,6,False
2011-02-09,20110209,2011,1,2,February,9,3,Wednesday,6,False
