product_sk,product_id_nk,product_key,product_name,product_cost,product_line,start_date,end_date,cat_id,product_key_short,is_current,effective_from,effective_to,category_id,category,subcategory,maintenance
1,210,CO-RF-FR-R92B-58,HL Road Frame - Black- 58,,R,2003-07-01,,CO_RF,FR-R92B-58,True,2003-07-01,9999-12-31,CO_RF,Components,Road Frames,Yes
2,211,CO-RF-FR-R92R-58,HL Road Frame - Red- 58,,R,2003-07-01,,CO_RF,FR-R92R-58,True,2003-07-01,9999-12-31,CO_RF,Components,Road Frames,Yes
3,212,AC-HE-HL-U509-R,Sport-100 Helmet- Red,12.0,S,2011-07-01,2007-12-28,AC_HE,HL-U509-R,False,2011-07-01,2007-12-28,AC_HE,Accessories,Helmets,Yes
4,213,AC-HE-HL-U509-R,Sport-100 Helmet- Red,14.0,S,2012-07-01,2008-12-27,AC_HE,HL-U509-R,False,2012-07-01,2008-12-27,AC_HE,Accessories,Helmets,Yes
5,214,AC-HE-HL-U509-R,Sport-100 Helmet- Red,13.0,S,2013-07-01,,AC_HE,HL-U509-R,True,2013-07-01,9999-12-31,AC_HE,Accessories,Helmets,Yes
6,215,AC-HE-HL-U509,Sport-100 Helmet- Black,12.0,S,2011-07-01,2007-12-28,AC_HE,HL-U509,False,2011-07-01,2007-12-28,AC_HE,Accessories,Helmets,Yes
7,216,AC-HE-HL-U509,Sport-100 Helmet- Black,14.0,S,2012-07-01,2008-12-27,AC_HE,HL-U509,False,2012-07-01,2008-12-27,AC_HE,Accessories,Helmets,Yes
8,217,AC-HE-HL-U509,Sport-100 Helmet- Black,13.0,S,2013-07-01,,AC_HE,HL-U509,True,2013-07-01,9999-12-31,AC_HE,Accessories,Helmets,Yes
9,218,CL-SO-SO-B909-M,Mountain Bike Socks- M,3.0,M,2011-07-01,2007-12-28,CL_SO,SO-B909-M,False,2011-07-01,2007-12-28,CL_SO,Clothing,Socks,No
10,219,CL-SO-SO-B909-L,Mountain Bike Socks- L,3.0,M,2011-07-01,2007-12-28,CL_SO,SO-B909-L,False,2011-07-01,2007-12-28,CL_SO,Clothing,Socks,No
11,220,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,12.0,S,2011-07-01,2007-12-28,AC_HE,HL-U509-B,False,2011-07-01,2007-12-28,AC_HE,Accessories,Helmets,Yes
12,221,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,14.0,S,2012-07-01,2008-12-27,AC_HE,HL-U509-B,False,2012-07-01,2008-12-27,AC_HE,Accessories,Helmets,Yes
13,222,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,13.0,S,2013-07-01,,AC_HE,HL-U509-B,True,2013-07-01,9999-12-31,AC_HE,Accessories,Helmets,Yes
14,223,CL-CA-CA-1098,AWC Logo Cap,6.0,S,2011-07-01,2007-12-28,CL_CA,CA-1098,False,2011-07-01,2007-12-28,CL_CA,Clothing,Caps,No
15,224,CL-CA-CA-1098,AWC Logo Cap,5.0,S,2012-07-01,2008-12-27,CL_CA,CA-1098,False,2012-07-01,2008-12-27,CL_CA,Clothing,Caps,No
16,225,CL-CA-CA-1098,AWC Logo Cap,7.0,S,2013-07-01,,CL_CA,CA-1098,True,2013-07-01,9999-12-31,CL_CA,Clothing,Caps,No
17,226,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,32.0,S,2011-07-01,2007-12-28,CL_JE,LJ-0192-S,False,2011-07-01,2007-12-28,CL_JE,Clothing,Jerseys,No
18,227,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,29.0,S,2012-07-01,2008-12-27,CL_JE,LJ-0192-S,False,2012-07-01,2008-12-27,CL_JE,Clothing,Jerseys,No
19,228,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,38.0,S,2013-07-01,,CL_JE,LJ-0192-S,True,2013-07-01,9999-12-31,CL_JE,Clothing,Jerseys,No
20,229,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,32.0,S,2011-07-01,2007-12-28,CL_JE,LJ-0192-M,False,2011-07-01,2007-12-28,CL_JE,Clothing,Jerseys,No
21,230,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,29.0,S,2012-07-01,2008-12-27,CL_JE,LJ-0192-M,False,2012-07-01,2008-12-27,CL_JE,Clothing,Jerseys,No
22,231,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,38.0,S,2013-07-01,,CL_JE,LJ-0192-M,True,2013-07-01,9999-12-31,CL_JE,Clothing,Jerseys,No
23,232,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,32.0,S,2011-07-01,2007-12-28,CL_JE,LJ-0192-L,False,2011-07-01,2007-12-28,CL_JE,Clothing,Jerseys,No
24,233,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,29.0,S,2012-07-01,2008-12-27,CL_JE,LJ-0192-L,False,2012-07-01,2008-12-27,CL_JE,Clothing,Jerseys,No
25,234,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,38.0,S,2013-07-01,,CL_JE,LJ-0192-L,True,2013-07-01,9999-12-31,CL_JE,Clothing,Jerseys,No
26,235,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,32.0,S,2011-07-01,2007-12-28,CL_JE,LJ-0192-X,False,2011-07-01,2007-12-28,CL_JE,Clothing,Jerseys,No
27,236,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,29.0,S,2012-07-01,2008-12-27,CL_JE,LJ-0192-X,False,2012-07-01,2008-12-27,CL_JE,Clothing,Jerseys,No
28,237,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,38.0,S,2013-07-01,,CL_JE,LJ-0192-X,True,2013-07-01,9999-12-31,CL_JE,Clothing,Jerseys,No
29,238,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,748.0,R,2011-07-01,2007-12-28,CO_RF,FR-R92R-62,False,2011-07-01,2007-12-28,CO_RF,Components,Road Frames,Yes
