sales_sk,order_number,customer_sk,product_sk,geography_sk,order_date_key,ship_date_key,due_date_key,sales_amount,quantity,price
1,SO43697,4471,101,5.0,20101229,20110105,20110110,3578.0,1,3578.0
2,SO43698,454,137,1.0,20101229,20110105,20110110,3400.0,1,3400.0
3,SO43699,2441,137,4.0,20101229,20110105,20110110,3400.0,1,3400.0
4,SO43700,16649,128,4.0,20101229,20110105,20110110,699.0,1,699.0
5,SO43701,18471,137,6.0,20101229,20110105,20110110,3400.0,1,3400.0
6,SO43702,620,102,4.0,20101230,20110106,20110111,3578.0,1,3578.0
7,SO43703,10858,101,6.0,20101230,20110106,20110111,3578.0,1,3578.0
8,SO43704,18473,142,6.0,20101230,20110106,20110111,3375.0,1,3375.0
9,SO43705,18479,135,6.0,20101230,20110106,20110111,3400.0,1,3400.0
10,SO43706,622,103,4.0,20101231,20110107,20110112,3578.0,1,3578.0
11,SO43707,1868,103,4.0,20101231,20110107,20110112,3578.0,1,3578.0
12,SO43708,10027,122,3.0,20101231,20110107,20110112,699.0,1,699.0
13,SO43709,11130,104,6.0,20101231,20110107,20110112,3578.0,1,3578.0
14,SO43710,10749,105,6.0,20101231,20110107,20110112,3578.0,1,3578.0
15,SO43711,3195,105,4.0,20110101,20110108,20110113,3578.0,1,3578.0
16,SO43712,14308,102,2.0,20110101,20110108,20110113,3578.0,1,3578.0
17,SO43713,3190,101,4.0,20110102,20110109,20110114,3578.0,1,3578.0
18,SO43714,14387,102,3.0,20110102,20110109,20110114,3578.0,1,3578.0
19,SO43715,10731,105,6.0,20110102,20110109,20110114,3578.0,1,3578.0
20,SO43716,10815,102,6.0,20110102,20110109,20110114,3578.0,1,3578.0
21,SO43717,7743,128,6.0,20110102,20110109,20110114,699.0,1,699.0
22,SO43718,610,102,4.0,20110103,20110110,20110115,3578.0,1,3578.0
23,SO43719,1872,103,4.0,20110103,20110110,20110115,3578.0,1,3578.0
24,SO43720,15342,102,2.0,20110103,20110110,20110115,3578.0,1,3578.0
