product_id,product_key,product_name,product_cost,product_line,start_date,end_date,cat_id,product_key_short,is_current,effective_from,effective_to,category_id,category,subcategory,maintenance
210,CO-RF-FR-R92B-58,HL Road Frame - Black- 58,,R,2003-07-01,,CO_RF,FR-R92B-58,True,2003-07-01,9999-12-31,CO_RF,Components,Road Frames,Yes
211,CO-RF-FR-R92R-58,HL Road Frame - Red- 58,,R,2003-07-01,,CO_RF,FR-R92R-58,True,2003-07-01,9999-12-31,CO_RF,Components,Road Frames,Yes
212,AC-HE-HL-U509-R,Sport-100 Helmet- Red,12.0,S,2011-07-01,2007-12-28,AC_HE,HL-U509-R,False,2011-07-01,2007-12-28,AC_HE,Accessories,Helmets,Yes
213,AC-HE-HL-U509-R,Sport-100 Helmet- Red,14.0,S,2012-07-01,2008-12-27,AC_HE,HL-U509-R,False,2012-07-01,2008-12-27,AC_HE,Accessories,Helmets,Yes
214,AC-HE-HL-U509-R,Sport-100 Helmet- Red,13.0,S,2013-07-01,,AC_HE,HL-U509-R,True,2013-07-01,9999-12-31,AC_HE,Accessories,Helmets,Yes
215,AC-HE-HL-U509,Sport-100 Helmet- Black,12.0,S,2011-07-01,2007-12-28,AC_HE,HL-U509,False,2011-07-01,2007-12-28,AC_HE,Accessories,Helmets,Yes
216,AC-HE-HL-U509,Sport-100 Helmet- Black,14.0,S,2012-07-01,2008-12-27,AC_HE,HL-U509,False,2012-07-01,2008-12-27,AC_HE,Accessories,Helmets,Yes
217,AC-HE-HL-U509,Sport-100 Helmet- Black,13.0,S,2013-07-01,,AC_HE,HL-U509,True,2013-07-01,9999-12-31,AC_HE,Accessories,Helmets,Yes
218,CL-SO-SO-B909-M,Mountain Bike Socks- M,3.0,M,2011-07-01,2007-12-28,CL_SO,SO-B909-M,False,2011-07-01,2007-12-28,CL_SO,Clothing,Socks,No
219,CL-SO-SO-B909-L,Mountain Bike Socks- L,3.0,M,2011-07-01,2007-12-28,CL_SO,SO-B909-L,False,2011-07-01,2007-12-28,CL_SO,Clothing,Socks,No
220,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,12.0,S,2011-07-01,2007-12-28,AC_HE,HL-U509-B,False,2011-07-01,2007-12-28,AC_HE,Accessories,Helmets,Yes
221,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,14.0,S,2012-07-01,2008-12-27,AC_HE,HL-U509-B,False,2012-07-01,2008-12-27,AC_HE,Accessories,Helmets,Yes
222,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,13.0,S,2013-07-01,,AC_HE,HL-U509-B,True,2013-07-01,9999-12-31,AC_HE,Accessories,Helmets,Yes
223,CL-CA-CA-1098,AWC Logo Cap,6.0,S,2011-07-01,2007-12-28,CL_CA,CA-1098,False,2011-07-01,2007-12-28,CL_CA,Clothing,Caps,No
224,CL-CA-CA-1098,AWC Logo Cap,5.0,S,2012-07-01,2008-12-27,CL_CA,CA-1098,False,2012-07-01,2008-12-27,CL_CA,Clothing,Caps,No
225,CL-CA-CA-1098,AWC Logo Cap,7.0,S,2013-07-01,,CL_CA,CA-1098,True,2013-07-01,9999-12-31,CL_CA,Clothing,Caps,No
226,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,32.0,S,2011-07-01,2007-12-28,CL_JE,LJ-0192-S,False,2011-07-01,2007-12-28,CL_JE,Clothing,Jerseys,No
227,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,29.0,S,2012-07-01,2008-12-27,CL_JE,LJ-0192-S,False,2012-07-01,2008-12-27,CL_JE,Clothing,Jerseys,No
228,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,38.0,S,2013-07-01,,CL_JE,LJ-0192-S,True,2013-07-01,9999-12-31,CL_JE,Clothing,Jerseys,No
229,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,32.0,S,2011-07-01,2007-12-28,CL_JE,LJ-0192-M,False,2011-07-01,2007-12-28,CL_JE,Clothing,Jerseys,No
230,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,29.0,S,2012-07-01,2008-12-27,CL_JE,LJ-0192-M,False,2012-07-01,2008-12-27,CL_JE,Clothing,Jerseys,No
231,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,38.0,S,2013-07-01,,CL_JE,LJ-0192-M,True,2013-07-01,9999-12-31,CL_JE,Clothing,Jerseys,No
232,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,32.0,S,2011-07-01,2007-12-28,CL_JE,LJ-0192-L,False,2011-07-01,2007-12-28,CL_JE,Clothing,Jerseys,No
233,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,29.0,S,2012-07-01,2008-12-27,CL_JE,LJ-0192-L,False,2012-07-01,2008-12-27,CL_JE,Clothing,Jerseys,No
234,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,38.0,S,2013-07-01,,CL_JE,LJ-0192-L,True,2013-07-01,9999-12-31,CL_JE,Clothing,Jerseys,No
235,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,32.0,S,2011-07-01,2007-12-28,CL_JE,LJ-0192-X,False,2011-07-01,2007-12-28,CL_JE,Clothing,Jerseys,No
236,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,29.0,S,2012-07-01,2008-12-27,CL_JE,LJ-0192-X,False,2012-07-01,2008-12-27,CL_JE,Clothing,Jerseys,No
237,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,38.0,S,2013-07-01,,CL_JE,LJ-0192-X,True,2013-07-01,9999-12-31,CL_JE,Clothing,Jerseys,No
238,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,748.0,R,2011-07-01,2007-12-28,CO_RF,FR-R92R-62,False,2011-07-01,2007-12-28,CO_RF,Components,Road Frames,Yes
239,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,722.0,R,2012-07-01,2008-12-27,CO_RF,FR-R92R-62,False,2012-07-01,2008-12-27,CO_RF,Components,Road Frames,Yes
240,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,869.0,R,2013-07-01,,CO_RF,FR-R92R-62,True,2013-07-01,9999-12-31,CO_RF,Components,Road Frames,Yes
241,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,748.0,R,2011-07-01,2007-12-28,CO_RF,FR-R92R-44,False,2011-07-01,2007-12-28,CO_RF,Components,Road Frames,Yes
242,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,722.0,R,2012-07-01,2008-12-27,CO_RF,FR-R92R-44,False,2012-07-01,2008-12-27,CO_RF,Components,Road Frames,Yes
243,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,869.0,R,2013-07-01,,CO_RF,FR-R92R-44,True,2013-07-01,9999-12-31,CO_RF,Components,Road Frames,Yes
244,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,748.0,R,2011-07-01,2007-12-28,CO_RF,FR-R92R-48,False,2011-07-01,2007-12-28,CO_RF,Components,Road Frames,Yes
245,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,722.0,R,2012-07-01,2008-12-27,CO_RF,FR-R92R-48,False,2012-07-01,2008-12-27,CO_RF,Components,Road Frames,Yes
246,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,869.0,R,2013-07-01,,CO_RF,FR-R92R-48,True,2013-07-01,9999-12-31,CO_RF,Components,Road Frames,Yes
