product_id,title,product_description,rating,ratings_count,initial_price,discount,final_price,currency,images,delivery_options,product_details,breadcrumbs,product_specifications,amount_of_stars,what_customers_said,seller_name,sizes,videos,seller_information,variations,best_offer,more_offers,category
1000000,Levis Denim Jacket,"Levis Denim Jacket - durable, stylish, great for daily use.",,4467.0,1866.67,,"""₹1,866.67""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,,,Tommy Hilfiger,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,jackets
1000001,MYTRIDENT Cotton Robe,"MYTRIDENT Cotton Robe - durable, stylish, great for daily use.",3.0,3679.0,3498.1,30.0,"""₹2,448.67""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,3.0,,MYTRIDENT,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,bath-robe
1000002,Titan Chronograph,"Titan Chronograph - durable, stylish, great for daily use.",4.0,4945.0,881.6,10.0,"""₹793.44""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/watches,See product page,4.0,Loved it,MYTRIDENT,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,watches
1000003,Lavie Tote Backpack,"Lavie Tote Backpack - durable, stylish, great for daily use.",4.9,375.0,5346.07,0.0,"""₹5,346.07""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/backpacks,See product page,4.9,,F Gear,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,backpacks
1000004,Roadster Casual Sneakers,"Roadster Casual Sneakers - durable, stylish, great for daily use.",4.1,584.0,1226.13,10.0,"""₹1,103.52""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sneakers,See product page,4.1,Good quality,Lavie,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,sneakers
1000005,Roadster Casual Sneakers,"Roadster Casual Sneakers - durable, stylish, great for daily use.",4.7,262.0,1550.81,,"""₹1,550.81""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sneakers,See product page,4.7,,Roadster,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,sneakers
1000006,Soft Touch Bath Robe,"Soft Touch Bath Robe - durable, stylish, great for daily use.",4.4,4788.0,1113.37,30.0,"""₹779.36""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,4.4,Loved it,Puma,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,bath-robe
1000007,Soft Touch Bath Robe,,3.1,3458.0,5207.29,0.0,"""₹5,207.29""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,3.1,Loved it,Tommy Hilfiger,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,bath-robe
1000008,Levis Denim Jacket,"Levis Denim Jacket - durable, stylish, great for daily use.",4.7,3561.0,4579.0,10.0,"""₹4,121.10""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,4.7,Value for money,Lavie,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,jackets
1000009,Hidesign Bifold Wallet,"Hidesign Bifold Wallet - durable, stylish, great for daily use.",4.6,4344.0,3770.13,0.0,"""₹3,770.13""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/wallets,See product page,4.6,Loved it,Lino Perros,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,wallets
1000010,Titan Chronograph,,3.7,566.0,5303.65,,"""₹5,303.65""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/watches,See product page,3.7,Loved it,Lavie,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,watches
1000011,Fastrack Wayfarer,"Fastrack Wayfarer - durable, stylish, great for daily use.",4.7,3059.0,4604.01,10.0,"""₹4,143.61""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sunglasses,See product page,4.7,Loved it,,"S,M,L,XL",,,,Buy 1 Get 1,Bank discount available,sunglasses
1000012,MYTRIDENT Cotton Robe,,4.8,482.0,3456.35,,"""₹3,456.35""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,4.8,,F Gear,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,bath-robe
