product_id,title,product_description,rating,ratings_count,initial_price,discount,final_price,currency,images,delivery_options,product_details,breadcrumbs,product_specifications,amount_of_stars,what_customers_said,seller_name,sizes,videos,seller_information,variations,best_offer,more_offers,category
1000000,Levis Denim Jacket,"Levis Denim Jacket - durable, stylish, great for daily use.",,4467,1866.67,,"""₹1,866.67""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,,,Tommy Hilfiger,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,jackets
1000001,MYTRIDENT Cotton Robe,"MYTRIDENT Cotton Robe - durable, stylish, great for daily use.",3.0,3679,3498.1,30,"""₹2,448.67""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,3.0,,MYTRIDENT,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,bath-robe
1000002,Titan Chronograph,"Titan Chronograph - durable, stylish, great for daily use.",4.0,4945,881.6,10,"""₹793.44""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/watches,See product page,4.0,Loved it,MYTRIDENT,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,watches
1000003,Lavie Tote Backpack,"Lavie Tote Backpack - durable, stylish, great for daily use.",4.9,375,5346.07,0,"""₹5,346.07""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/backpacks,See product page,4.9,,F Gear,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,backpacks
1000004,Roadster Casual Sneakers,"Roadster Casual Sneakers - durable, stylish, great for daily use.",4.1,584,1226.13,10,"""₹1,103.52""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sneakers,See product page,4.1,Good quality,Lavie,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,sneakers
1000005,Roadster Casual Sneakers,"Roadster Casual Sneakers - durable, stylish, great for daily use.",4.7,262,1550.81,,"""₹1,550.81""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sneakers,See product page,4.7,,Roadster,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,sneakers
1000006,Soft Touch Bath Robe,"Soft Touch Bath Robe - durable, stylish, great for daily use.",4.4,4788,1113.37,30,"""₹779.36""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,4.4,Loved it,Puma,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,bath-robe
1000007,Soft Touch Bath Robe,,3.1,3458,5207.29,0,"""₹5,207.29""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,3.1,Loved it,Tommy Hilfiger,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,bath-robe
1000008,Levis Denim Jacket,"Levis Denim Jacket - durable, stylish, great for daily use.",4.7,3561,4579.0,10,"""₹4,121.10""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,4.7,Value for money,Lavie,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,jackets
1000009,Hidesign Bifold Wallet,"Hidesign Bifold Wallet - durable, stylish, great for daily use.",4.6,4344,3770.13,0,"""₹3,770.13""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/wallets,See product page,4.6,Loved it,Lino Perros,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,wallets
1000010,Titan Chronograph,,3.7,566,5303.65,,"""₹5,303.65""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/watches,See product page,3.7,Loved it,Lavie,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,watches
1000011,Fastrack Wayfarer,"Fastrack Wayfarer - durable, stylish, great for daily use.",4.7,3059,4604.01,10,"""₹4,143.61""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sunglasses,See product page,4.7,Loved it,,"S,M,L,XL",,,,Buy 1 Get 1,Bank discount available,sunglasses
1000012,MYTRIDENT Cotton Robe,,4.8,482,3456.35,,"""₹3,456.35""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,4.8,,F Gear,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,bath-robe
1000013,Ray-Ban Aviator,"Ray-Ban Aviator - durable, stylish, great for daily use.",4.5,1990,1520.15,30,"""₹1,064.11""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sunglasses,See product page,4.5,Good quality,,"S,M,L,XL",,,,Buy 1 Get 1,Bank discount available,sunglasses
1000014,Roadster Bomber Jacket,,4.3,2779,2961.04,,"""₹2,961.04""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,4.3,Good quality,Tommy Hilfiger,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,jackets
1000015,Puma Running Shoes,,3.7,4508,5283.57,,"""₹5,283.57""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sneakers,See product page,3.7,,Tommy Hilfiger,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,sneakers
1000016,Soft Touch Bath Robe,"Soft Touch Bath Robe - durable, stylish, great for daily use.",3.6,3198,5227.51,0,"""₹5,227.51""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,3.6,Loved it,MYTRIDENT,"S,M,L,XL",video1.mp4,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,bath-robe
1000017,Roadster Bomber Jacket,,3.9,499,1539.9,,"""₹1,539.90""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,3.9,Loved it,Roadster,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,jackets
1000018,Ray-Ban Aviator,"Ray-Ban Aviator - durable, stylish, great for daily use.",3.2,4666,3690.7,0,"""₹3,690.70""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sunglasses,See product page,3.2,,F Gear,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,sunglasses
1000019,Roadster Bomber Jacket,,3.6,2457,4116.44,10,"""₹3,704.80""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,3.6,,,"S,M,L,XL",,,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,jackets
1000020,Ray-Ban Aviator,,3.6,2001,3182.54,10,"""₹2,864.29""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sunglasses,See product page,3.6,Loved it,Roadster,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,sunglasses
1000021,Roadster Bomber Jacket,,3.3,4532,5650.9,,"""₹5,650.90""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,3.3,Good quality,Lavie,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,jackets
1000022,Roadster Bomber Jacket,,3.8,2266,5459.42,,"""₹5,459.42""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,3.8,Good quality,Lino Perros,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,jackets
1000023,Roadster Bomber Jacket,"Roadster Bomber Jacket - durable, stylish, great for daily use.",4.3,1221,3496.17,,"""₹3,496.17""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,4.3,Good quality,Lino Perros,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,jackets
1000024,Lavie Tote Backpack,"Lavie Tote Backpack - durable, stylish, great for daily use.",3.1,2897,5422.87,0,"""₹5,422.87""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/backpacks,See product page,3.1,Good quality,Puma,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,backpacks
1000025,Woodland Leather Wallet,,3.0,2032,1321.36,20,"""₹1,057.09""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/wallets,See product page,3.0,,MYTRIDENT,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,wallets
1000026,Hidesign Bifold Wallet,,4.4,1582,2292.05,0,"""₹2,292.05""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/wallets,See product page,4.4,,Puma,"S,M,L,XL",video1.mp4,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,wallets
1000027,Roadster Bomber Jacket,"Roadster Bomber Jacket - durable, stylish, great for daily use.",4.7,2139,2186.55,,"""₹2,186.55""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/jackets,See product page,4.7,Value for money,Lavie,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,jackets
1000028,Fastrack Wayfarer,,4.0,4723,2786.45,,"""₹2,786.45""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sunglasses,See product page,4.0,Loved it,F Gear,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,sunglasses
1000029,Titan Chronograph,"Titan Chronograph - durable, stylish, great for daily use.",4.0,2460,3850.99,,"""₹3,850.99""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/watches,See product page,4.0,Value for money,MYTRIDENT,"S,M,L,XL",video1.mp4,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,watches
1000030,Ray-Ban Aviator,,4.2,3326,4159.71,30,"""₹2,911.80""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sunglasses,See product page,4.2,Good quality,Lino Perros,"S,M,L,XL",video1.mp4,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,sunglasses
1000031,Roadster Casual Sneakers,,3.6,2324,3212.69,0,"""₹3,212.69""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sneakers,See product page,3.6,Good quality,Roadster,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,sneakers
1000032,Woodland Leather Wallet,"Woodland Leather Wallet - durable, stylish, great for daily use.",3.1,4715,1694.6,,"""₹1,694.60""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/wallets,See product page,3.1,Loved it,F Gear,"S,M,L,XL",video1.mp4,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,wallets
1000033,MYTRIDENT Cotton Robe,"MYTRIDENT Cotton Robe - durable, stylish, great for daily use.",3.0,1792,5387.16,,"""₹5,387.16""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,3.0,Loved it,Lavie,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,bath-robe
1000034,Woodland Leather Wallet,"Woodland Leather Wallet - durable, stylish, great for daily use.",4.4,3625,4104.19,30,"""₹2,872.93""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/wallets,See product page,4.4,Loved it,Puma,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,wallets
1000035,Roadster Casual Sneakers,,3.8,634,4664.14,0,"""₹4,664.14""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sneakers,See product page,3.8,Value for money,MYTRIDENT,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,sneakers
1000036,MYTRIDENT Cotton Robe,"MYTRIDENT Cotton Robe - durable, stylish, great for daily use.",3.4,4445,4325.59,,"""₹4,325.59""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,3.4,Good quality,,"S,M,L,XL",video1.mp4,,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,bath-robe
1000037,Woodland Leather Wallet,"Woodland Leather Wallet - durable, stylish, great for daily use.",4.8,3194,2467.17,,"""₹2,467.17""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/wallets,See product page,4.8,Good quality,Puma,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,wallets
1000038,Titan Chronograph,"Titan Chronograph - durable, stylish, great for daily use.",4.2,3828,2214.94,20,"""₹1,771.95""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/watches,See product page,4.2,,Lavie,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,watches
1000039,F Gear Trekking Bag,"F Gear Trekking Bag - durable, stylish, great for daily use.",4.4,2677,1334.86,10,"""₹1,201.37""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/backpacks,See product page,4.4,Loved it,Roadster,"S,M,L,XL",video1.mp4,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,backpacks
1000040,Fastrack Analog Watch,"Fastrack Analog Watch - durable, stylish, great for daily use.",4.7,329,595.89,0,"""₹595.89""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/watches,See product page,4.7,Good quality,Lino Perros,"S,M,L,XL",,Verified Seller,,Buy 1 Get 1,Bank discount available,watches
1000041,MYTRIDENT Cotton Robe,"MYTRIDENT Cotton Robe - durable, stylish, great for daily use.",3.3,1374,3513.63,10,"""₹3,162.27""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/bath-robe,See product page,3.3,Good quality,Tommy Hilfiger,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,bath-robe
1000042,Ray-Ban Aviator,"Ray-Ban Aviator - durable, stylish, great for daily use.",4.8,1624,4159.88,20,"""₹3,327.90""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/sunglasses,See product page,4.8,Good quality,Tommy Hilfiger,"S,M,L,XL",,Verified Seller,"Red,Blue,Black",Buy 1 Get 1,Bank discount available,sunglasses
1000043,Woodland Leather Wallet,,4.8,564,4760.02,20,"""₹3,808.02""",INR,img1.jpg|img2.jpg,"Standard,Express",100% authentic,Home/wallets,See product page,4.8,Loved it,Roadster,"S,M,L,XL",video1.mp4,Verified Seller,,Buy 1 Get 1,Bank discount available,wallets
